S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
91,IHL,494.00,44.00,9.78,450.00,494.80,442.10,"42,886.00",450.00
92,ILBS,"1,219.00",23.00,1.92,"1,218.00","1,243.00","1,185.00","12,778.00","1,196.00"
93,ILI,464.00,11.00,2.43,451.00,465.00,450.00,"44,588.00",453.00
94,JBBD87,982.50,9.40,0.97,973.10,987.00,973.10,327.00,973.10
95,JBBL,327.00,13.00,4.14,317.10,327.90,309.00,"212,172.00",314.00
96,JBLB,"1,482.00",17.00,1.16,"1,465.00","1,483.00","1,455.00","11,669.00","1,465.00"
97,JFL,718.00,-24.50,-3.30,727.70,743.50,686.00,"238,075.00",742.50
98,JOSHI,319.00,20.90,7.01,304.00,320.00,298.00,"121,330.00",298.10
99,JSLBB,"1,473.00",47.90,3.36,"1,453.60","1,480.00","1,422.00","1,147.00","1,425.10"
100,KBL,159.40,5.70,3.71,150.70,159.50,150.70,"291,266.00",153.70
101,KBLD89,"1,242.00",-122.00,-9.62,"1,242.00","1,242.00","1,242.00",59.00,"1,145.80"
102,KBSH,"1,474.00",-35.00,-2.32,"1,537.00","1,550.00","1,474.00","2,722.00","1,509.00"
103,KDBY,9.79,0.12,1.24,9.48,10.05,9.45,"50,530.00",9.67
104,KDL,"1,200.00",29.00,2.48,"1,155.00","1,210.00","1,155.00","14,292.00","1,171.00"
105,KKHC,254.80,15.90,6.66,240.00,255.00,236.10,"72,408.00",238.90
106,KMCDB,"1,231.10",31.20,2.60,"1,176.00","1,239.30","1,160.00","18,881.00","1,199.90"
107,KPCL,491.00,26.00,5.59,465.00,493.00,465.00,"75,249.00",465.00
108,KRBL,509.90,26.00,5.37,489.00,515.00,482.20,"46,638.00",483.90
109,KSBBL,429.90,13.90,3.34,415.00,431.00,412.00,"88,075.00",416.00
110,KSBBLD87,"1,005.00",-20.00,-1.95,"1,005.00","1,005.00","1,005.00",100.00,"1,025.00"
